Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,112.370003,113.389999,111.510002,113.330002,89.225388,118944600
2010-01-05,113.260002,113.680000,112.849998,113.629997,89.461617,111579900
2010-01-06,113.519997,113.989998,113.430000,113.709999,89.524590,116074400
2010-01-07,113.500000,114.330002,113.180000,114.190002,89.902496,131091100
2010-01-08,113.889999,114.620003,113.660004,114.570000,90.201653,126402800
2010-01-11,115.080002,115.129997,114.239998,114.730003,90.327660,106375700
2010-01-12,113.970001,114.209999,113.220001,113.660004,89.485222,163333500
2010-01-13,113.949997,114.940002,113.370003,114.620003,90.241028,161822000
2010-01-14,114.489998,115.139999,114.419998,114.930000,90.485092,115718800
2010-01-15,114.730003,114.839996,113.199997,113.639999,89.469482,212283100
2010-01-19,113.620003,115.129997,113.589996,115.059998,90.587440,139172700
2010-01-20,114.279999,114.449997,112.980003,113.889999,89.666313,216490200
2010-01-21,113.919998,114.269997,111.559998,111.699997,87.942101,344859600
2010-01-22,111.199997,111.739998,109.089996,109.209999,85.981682,345942400
2010-01-25,110.209999,110.410004,109.410004,109.769997,86.422554,186937500
2010-01-26,109.339996,110.470001,109.040001,109.309998,86.060432,211168800
2010-01-27,109.169998,110.080002,108.330002,109.830002,86.469833,271863600
2010-01-28,110.190002,110.250000,107.910004,108.570000,85.477852,316104000
2010-01-29,109.040001,109.800003,107.220001,107.389999,84.548820,310677600
2010-02-01,108.150002,109.070000,107.500000,109.059998,85.863602,187865000
2010-02-02,109.260002,110.589996,108.879997,110.379997,86.902824,216327900
2010-02-03,109.879997,110.480003,109.510002,109.830002,86.469833,172730700
2010-02-04,108.980003,109.029999,106.419998,106.440002,83.800850,356715700
2010-02-05,106.559998,106.879997,104.580002,106.660004,83.974052,493585800
2010-02-08,106.739998,107.330002,105.809998,105.889999,83.367851,224166900
2010-02-09,107.129997,108.150002,106.269997,107.220001,84.414963,337820500
2010-02-10,107.050003,107.599998,106.110001,107.010002,84.249641,240511500
2010-02-11,106.870003,108.250000,106.250000,108.129997,85.131416,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,85.060562,304622100
2010-02-16,108.860001,109.849998,107.820000,109.739998,86.398987,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,86.808357,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,87.320145,193708600
2010-02-19,110.620003,111.570000,110.360001,111.139999,87.501228,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,87.516968,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,86.454063,207497000
2010-02-24,110.139999,111.000000,109.860001,110.820000,87.249252,176350700
2010-02-25,109.239998,110.750000,108.940002,110.669998,87.131165,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,87.186264,173589300
2010-03-01,111.199997,112.000000,111.169998,111.889999,88.091690,147709700
2010-03-02,112.370003,112.739998,112.000000,112.199997,88.335747,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,88.414474,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,88.682159,135770400
2010-03-05,113.370003,114.339996,113.099998,114.250000,89.949722,176118800
2010-03-08,114.260002,114.519997,114.070000,114.269997,89.965477,114631200
2010-03-09,113.930000,114.989998,113.870003,114.459999,90.115036,154556700
2010-03-10,114.510002,115.279999,114.410004,114.970001,90.516571,186088800
2010-03-11,114.699997,115.480003,114.349998,115.449997,90.894501,160791100
2010-03-12,115.949997,115.970001,115.139999,115.459999,90.902359,162074800
2010-03-15,115.260002,115.570000,114.599998,115.489998,90.925980,146816800
2010-03-16,115.809998,116.519997,115.489998,116.410004,91.650299,168673000
2010-03-17,116.760002,117.480003,116.419998,117.099998,92.193520,177468100
2010-03-18,117.110001,117.269997,116.570000,117.040001,92.146301,196509100
2010-03-19,115.970001,117.290001,115.519997,115.970001,91.679909,226641100
2010-03-22,115.309998,116.800003,115.239998,116.589996,92.170021,184477800
2010-03-23,116.760002,117.510002,116.379997,117.410004,92.818268,182941600
2010-03-24,116.970001,117.430000,115.580002,116.839996,92.367668,196072600
2010-03-25,117.629997,118.169998,116.510002,116.650002,92.217453,223396300
2010-03-26,116.870003,117.419998,116.120003,116.580002,92.162086,205808500
2010-03-29,117.169998,117.529999,116.690002,117.320000,92.747116,134513500
2010-03-30,117.459999,117.830002,116.910004,117.400002,92.810387,145772500
2010-03-31,116.949997,117.519997,116.610001,117.000000,92.494133,161078700
2010-04-01,117.800003,118.250000,117.099998,117.800003,93.126595,161215200
2010-04-05,118.250000,118.839996,117.919998,118.760002,93.885529,105847600
2010-04-06,118.419998,119.250000,118.290001,119.040001,94.106865,110384200
2010-04-07,118.800003,119.360001,117.809998,118.360001,93.569290,184576300
2010-04-08,117.949997,118.970001,117.599998,118.769997,93.893417,158704000
2010-04-09,119.019997,119.599998,118.800003,119.550003,94.510071,133006500
2010-04-12,119.699997,120.050003,119.559998,119.739998,94.660240,110279000
2010-04-13,119.620003,120.040001,119.000000,119.830002,94.731392,125043600
2010-04-14,120.269997,121.190002,120.080002,121.190002,95.806557,161609000
2010-04-15,120.989998,121.570000,120.949997,121.290001,95.885612,144615300
2010-04-16,120.860001,121.290001,118.750000,119.360001,94.359833,366786700
2010-04-19,119.010002,119.930000,118.470001,119.809998,94.715591,217947800
2010-04-20,120.559998,120.980003,119.870003,120.879997,95.561462,157708000
2010-04-21,120.949997,121.230003,119.989998,120.660004,95.387566,192910100
2010-04-22,119.809998,121.169998,119.120003,121.019997,95.672127,115360300
2010-04-23,120.940002,121.860001,120.629997,121.809998,96.296684,177335500
2010-04-26,121.849998,122.120003,121.230003,121.349998,95.933060,143457300
2010-04-27,120.650002,121.339996,118.250000,118.480003,93.664192,355853300
2010-04-28,119.050003,119.680000,118.269997,119.379997,94.375626,300674100
2010-04-29,120.099998,121.110001,120.070000,120.860001,95.545677,193775000
2010-04-30,120.879997,121.010002,118.779999,118.809998,93.925011,270000900
2010-05-03,119.379997,120.680000,119.199997,120.349998,95.142479,182747900
2010-05-04,119.010002,119.029999,116.919998,117.519997,92.905235,360353400
2010-05-05,116.559998,117.800003,115.970001,116.820000,92.351860,328973200
2010-05-06,116.260002,117.000000,105.000000,112.940002,89.284523,647356600
2010-05-07,112.639999,113.769997,109.410004,111.260002,87.956421,637558800
2010-05-10,115.809998,116.650002,114.910004,116.160004,91.830101,396159600
2010-05-11,115.070000,117.360001,114.910004,115.830002,91.569221,317849800
2010-05-12,116.290001,117.620003,116.089996,117.449997,92.849892,235607100
2010-05-13,117.129997,117.680000,115.889999,115.989998,91.695694,234452500
2010-05-14,115.120003,115.330002,112.870003,113.889999,90.035553,345601400
2010-05-17,114.199997,114.519997,111.769997,113.949997,90.082962,325739800
2010-05-18,114.879997,115.220001,112.029999,112.400002,88.857635,360556800
2010-05-19,111.769997,112.769997,110.360001,111.760002,88.351677,394742700
2010-05-20,109.379997,109.889999,107.470001,107.540001,85.015572,530418300
2010-05-21,105.910004,109.379997,105.360001,109.110001,86.256729,500909400
2010-05-24,108.519997,109.389999,107.610001,107.709999,85.149986,269823000
2010-05-25,105.110001,107.870003,104.379997,107.820000,85.236908,396505200
2010-05-26,108.480003,109.470001,106.849998,107.169998,84.723038,349719300
2010-05-27,109.190002,110.800003,108.779999,110.760002,87.561134,300870500
2010-05-28,110.639999,110.720001,108.849998,109.370003,86.462280,297933500
2010-06-01,108.349998,109.949997,107.370003,107.529999,85.007614,277909400
2010-06-02,108.080002,110.339996,107.510002,110.330002,87.221184,240243700
2010-06-03,110.650002,111.059998,109.580002,110.709999,87.521591,226618300
2010-06-04,108.610001,109.330002,106.459999,106.820000,84.446365,398475600
2010-06-07,107.199997,107.610001,105.410004,105.489998,83.394958,264609100
2010-06-08,105.570000,106.830002,104.650002,106.620003,84.288269,357774300
2010-06-09,107.239998,108.279999,105.599998,106.050003,83.837646,268023300
2010-06-10,107.860001,109.279999,106.040001,109.150002,86.288345,317890600
2010-06-11,108.190002,109.750000,108.120003,109.680000,86.707352,214128200
2010-06-14,110.519997,111.120003,109.400002,109.510002,86.572952,207196100
2010-06-15,110.279999,112.099998,110.089996,112.000000,88.541420,238268700
2010-06-16,111.419998,112.419998,111.199997,111.959999,88.509766,216374000
2010-06-17,112.279999,112.330002,111.050003,112.139999,88.652084,263185800
2010-06-18,111.830002,112.129997,111.370003,111.730003,88.748215,174006600
2010-06-21,113.120003,113.199997,110.790001,111.410004,88.494034,213140700
2010-06-22,111.410004,111.900002,109.410004,109.570000,87.032478,239355400
2010-06-23,109.639999,110.029999,108.480003,109.230003,86.762451,254639900
2010-06-24,108.690002,108.830002,107.139999,107.419998,85.324730,268523600
2010-06-25,107.739998,108.419998,106.769997,107.870003,85.682182,238726500
2010-06-28,108.029999,108.320000,107.139999,107.529999,85.412048,169218600
2010-06-29,106.019997,107.510002,103.550003,104.209999,82.774979,373649500
2010-06-30,103.919998,104.879997,102.879997,103.220001,81.988632,284101700
2010-07-01,103.150002,103.489998,101.129997,102.760002,81.623253,382924800
2010-07-02,103.110001,103.419998,101.620003,102.199997,81.178413,233385200
2010-07-06,103.639999,104.370003,101.879997,102.870003,81.710625,256935300
2010-07-07,103.129997,106.239998,103.019997,106.110001,84.284203,253769400
2010-07-08,107.000000,107.279999,105.910004,107.160004,85.118187,210842100
2010-07-09,107.129997,107.970001,106.930000,107.959999,85.753654,144999900
2010-07-12,107.599998,108.239998,107.150002,108.029999,85.809258,131283600
2010-07-13,109.150002,110.089996,108.930000,109.660004,87.103973,213025900
2010-07-14,109.309998,110.080002,108.860001,109.650002,87.096024,184426800
2010-07-15,109.610001,110.059998,108.169998,109.680000,87.119873,232337900
2010-07-16,109.089996,109.209999,106.449997,106.660004,84.721039,282693400
2010-07-19,107.050003,107.629997,106.220001,107.290001,85.221458,186709000
2010-07-20,105.870003,108.559998,105.820000,108.480003,86.166695,258162400
2010-07-21,109.040001,109.070000,106.629997,107.070000,85.046722,264527000
2010-07-22,108.339996,109.940002,108.330002,109.459999,86.945122,274781300
2010-07-23,109.239998,110.570000,108.930000,110.410004,87.699730,222020800
2010-07-26,110.599998,111.669998,110.290001,111.559998,88.613152,184445700
2010-07-27,112.169998,112.290001,111.110001,111.550003,88.605217,204855600
2010-07-28,111.320000,111.660004,110.459999,110.830002,88.033325,163056200
2010-07-29,111.519997,111.820000,109.410004,110.290001,87.604408,220149100
2010-07-30,109.169998,110.860001,108.980003,110.269997,87.588516,220070600
2010-08-02,111.989998,112.940002,111.540001,112.760002,89.566345,188263200
2010-08-03,112.480003,112.769997,111.849998,112.220001,89.137398,146657300
2010-08-04,112.529999,113.110001,112.160004,112.970001,89.733147,158171700
2010-08-05,112.250000,112.910004,112.080002,112.849998,89.637825,140473800
2010-08-06,111.739998,112.570000,110.919998,112.389999,89.272446,239728300
2010-08-09,112.919998,113.180000,112.320000,112.989998,89.749039,120800400
2010-08-10,112.029999,112.980003,111.370003,112.379997,89.264519,242916300
2010-08-11,110.650002,110.690002,109.120003,109.300003,86.818047,273406900
2010-08-12,107.650002,109.019997,107.599998,108.629997,86.285858,239542600
2010-08-13,108.290001,108.959999,108.180000,108.309998,86.031662,158698500
2010-08-16,107.570000,108.610001,107.180000,108.260002,85.991959,147895300
2010-08-17,109.190002,110.389999,108.879997,109.589996,87.048370,172270300
2010-08-18,109.540001,110.379997,108.910004,109.790001,87.207237,182922100
2010-08-19,109.220001,109.489998,107.430000,107.879997,85.690117,265847600
2010-08-20,107.559998,107.940002,106.750000,107.529999,85.412048,209714200
2010-08-23,108.040001,108.570000,107.070000,107.120003,85.086433,163490300
2010-08-24,105.949997,106.389999,104.970001,105.529999,83.823479,280677800
2010-08-25,104.949997,106.339996,104.290001,105.940002,84.149147,272234800
2010-08-26,106.440002,106.580002,104.879997,105.230003,83.585190,224439500
2010-08-27,105.889999,106.970001,104.309998,106.860001,84.879929,272649000
2010-08-30,106.580002,106.910004,105.300003,105.309998,83.648705,167238600
2010-08-31,104.919998,105.980003,104.489998,105.309998,83.648705,273933100
2010-09-01,106.730003,108.610001,106.660004,108.459999,86.150810,256828100
2010-09-02,108.720001,109.489998,108.489998,109.470001,86.953064,156112200
2010-09-03,110.540001,110.989998,109.949997,110.889999,88.081001,212197300
2010-09-07,110.370003,110.510002,109.550003,109.639999,87.088081,141973700
2010-09-08,109.860001,110.849998,109.809998,110.410004,87.699730,149924400
2010-09-09,111.650002,111.680000,110.620003,110.919998,88.104805,147017900
2010-09-10,111.120003,111.610001,110.870003,111.480003,88.549614,127819000
2010-09-13,112.580002,112.949997,112.129997,112.720001,89.534569,178503500
2010-09-14,112.500000,113.290001,112.080002,112.650002,89.478981,209823600
2010-09-15,112.320000,113.209999,111.980003,113.080002,89.820496,168608400
2010-09-16,112.730003,113.120003,112.349998,113.050003,89.796677,199962900
2010-09-17,113.040001,113.150002,112.180000,112.489998,89.830215,195836900
2010-09-20,112.879997,114.459999,112.519997,114.209999,91.203751,214555200
2010-09-21,114.300003,114.839996,113.510002,113.980003,91.020103,268389100
